op_id,status,duck_rows,gold_rows,duck_hash,gold_hash,duckdb_joules,mssql_joules,energy_reduction_x,error
39,PASS,6,6,45da78135601b3f7d3284561924a6c72,45da78135601b3f7d3284561924a6c72,0.005583,0.350000,62.7,
40,PASS,50,50,29979530680b6229224b7068e7c5a0fa,29979530680b6229224b7068e7c5a0fa,0.023899,0.450000,18.8,
41,PASS,50,50,099b6fb8e455d60b4ca9e05817b04805,099b6fb8e455d60b4ca9e05817b04805,0.012536,0.350000,27.9,
42,PASS,50,50,cc499f9fb31ebaa6783f09038a60f1d8,cc499f9fb31ebaa6783f09038a60f1d8,0.008194,0.350000,42.7,
43,PASS,50,50,0205eab1fe8a0e7184b2e0a1a1135e01,0205eab1fe8a0e7184b2e0a1a1135e01,0.007935,0.350000,44.1,
44,PASS,0,0,d41d8cd98f00b204e9800998ecf8427e,d41d8cd98f00b204e9800998ecf8427e,0.002300,0.400000,173.9,
45,PASS,100,100,357d89c9caedfa4f1eb3738c9b2e304a,357d89c9caedfa4f1eb3738c9b2e304a,0.006945,0.400000,57.6,
46,PASS,1,1,2ce4528bfae3f2a0670a70f06fe620ee,2ce4528bfae3f2a0670a70f06fe620ee,0.001988,0.400000,201.2,
47,PASS,2,2,b784cbdad7d668ba0294773c355e4036,b784cbdad7d668ba0294773c355e4036,0.009769,0.400000,40.9,
48,PASS,50,50,5b262ac0fd227e1441e3848579772d54,5b262ac0fd227e1441e3848579772d54,0.010383,0.350000,33.7,
49,PASS,1,1,5b7d8850d0e260df31688ea3c5b3fdc4,5b7d8850d0e260df31688ea3c5b3fdc4,0.001918,0.350000,182.5,
50,PASS,52,52,2bcba49ede6fc49d15fbda9c783004e0,2bcba49ede6fc49d15fbda9c783004e0,0.003407,0.700000,205.5,
